,cookie,type,retention,description
904,pl_user_id,Marketing,3 months,This cookie registers data on the visitor. The information is used to optimize advertisement relevance.
905,pxrc,Marketing,2 months,This cookie registers non-personal data on the visitor. The information is used to optimize advertisement relevance.
906,rlas3,Marketing,1 year,"Collects anonymous data related to the user's visits to the website, such as the number of visits, average time spent on the website and what pages have been loaded, with the purpose of displaying targeted ads."
907,TapAd_DID,Marketing,2 months,"Used to determine what type of devices (smartphones, tablets, computers, TVs etc.) is used by a user."
908,TapAd_TS,Marketing,2 months,"Used to determine what type of devices (smartphones, tablets, computers, TVs etc.) is used by a user."
909,TDCPM,Marketing,1 year,Registers a unique ID that identifies a returning user's device. The ID is used for targeted ads.
910,TDID,Marketing,1 year,Registers a unique ID that identifies a returning user's device. The ID is used for targeted ads.
911,uid-bp-,Marketing,2 months,Pending
912,uuidc,Marketing,1 year,"Collects data on the user's visits to the website, such as what pages have been loaded. The registered data is used for targeted ads."
913,zc,Marketing,10 years,Registers data on visitors from multiple visits and on multiple websites. This information is used to measure the efficiency of advertisement on websites.
914,amplitude_id,Marketing,1 year,These cookies are used by the TrustPilot service to identify you and enable you to leave reviews of our products and services.
915,csrf-canary,Functional,session,These cookies are used by the TrustPilot service to identify you and enable you to leave reviews of our products and services. 
916,3pi,Marketing,3 months,"Sets a unique ID for the visitor, that allows third party advertisers to target the visitor with relevant advertisement. This pairing service is provided by third party advertisement hubs, which facilitates real-time bidding for advertisers."
917,am-uid,Marketing,2 years,This cookie is used to identify the visitor and optimize ad-relevance by collecting visitor data from multiple websites – this exchange of visitor data is normally provided by a third-party data-center or ad-exchange.
918,_cc_dc,Marketing,session,"Collects anonymous statistical data related to the user's website visits, such as the number of visits, average time spent on the website and what pages have been loaded. The purpose is to segment the website's users according to factors such as demographics and geographical location, in order to enable media and marketing agencies to structure and understand their target groups to enable customised online advertising."
919,bkpa,Marketing,179 days,"Used to present the visitor with relevant content and advertisement - The service is provided by third party advertisement hubs, which facilitate real-time bidding for advertisers."
920,_ljtrtb_,Marketing,1 year,"These cookies are used temporarily when multiple partners pass us their ID simultaneously. To avoid technical conflicts that arise from accessing the ljtrtb cookie for multiple partners at the same time, we store each partner’s ID in a separate cookie and then consolidate these IDs into the ljtrtb cookie when it’s available."
921,ljtrtb,Marketing,1 year,Enables us to help our advertising partners make decisions about displaying an advertisement to you. We store the ID that each partner uses to identify you and pass that information to the partner when a website requests an advertisement from us.
922,uuid,Marketing,1 year,"Collects data on the user's visits to the website, such as what pages have been loaded. The registered data is used for targeted ads."
923,_pinterest_cm,Functional,347 days,Pinterest cookie ensures that you can share our website pages via Pinterest by means of the 'share' button
924,_pinterest_sess,Functional,session,"session cookie (expires after your session) which collects anonymous data about a user's visit to the website, such as the number of visits, average time spent on the site and which pages have been loaded in order to personalise and improve the Pinterest service."
925,_pin_unauth,Marketing,1 day,Registers a unique ID that identifies and recognizes the user. Is used for targeted advertising.
926,_pinterest_ct_ua,Marketing,session,This cookieis a third party cookie which groups actions for users who cannot be identified by Pinterest.
927,sessionFunnelEventLogged,Marketing,1 day,A generic technical cookie used for storing user session identifier in web applications
928,_routing_id,Marketing,1 day,Allows users to share pictures via Pinterest / the Pin It button. Pinterest can collect statistical information about usage of their service.
929,Nop.customer,Functional,1 month,Customer cookie. Used to identifier guest customers.
930,NopCommerce.RecentlyViewedProducts,Functional,10 days,Recently viewed products cookie. Stores a list of the recently viewed products
931,NOPCOMMERCE.AUTH,Functional,session,Forms authentication cookie. Used for authenticating registered customers.
932,tsrvid,Functional,1 year,Feedback company review cookie
933,SID,Marketing,2 years,"Download certain Google Tools and save certain preferences, for example the number of search results per page or activation of the SafeSearch Filter. Adjusts the ads that appear in Google Search."
934,SIDCC,Marketing,2 years,"Download certain Google Tools and save certain preferences, for example the number of search results per page or activation of the SafeSearch Filter. Adjusts the ads that appear in Google Search."
935,DV,Marketing,1 year,This cookies is used to collect website statistics and track conversion rates and Google ad personalisation
936,form_key,Functional,session,A security measure that appends a random string to all form submissions to protect the data from Cross-Site Request Forgery (CSRF).
937,mage-cache-sessid,Functional,session,"The value of this cookie triggers the cleanup of local cache storage. When the cookie is removed by the backend application, the Admin cleans up local storage, and sets the cookie value to true."
938,mage-cache-storage,Functional,session,Local storage of visitor-specific content that enables ecommerce functions.
939,mage-cache-storage-section-invalidation,Functional,session,Forces local storage of specific content sections that should be invalidated.
940,mage-messages,Functional,1 year,"Tracks error messages and other notifications that are shown to the user, such as the cookie consent message, and various error messages. The message is deleted from the cookie after it is shown to the shopper."
941,mage-translation-file-version,Functional,session,Tracks the version of translations in local storage. Used when Translation Strategy is configured as Dictionary (Translation on Storefront side).
942,mage-translation-storage,Functional,session,Stores translated content when requested by the shopper. Used when Translation Strategy is configured as Dictionary (Translation on Storefront side).
943,product_data_storage,Functional,session,Stores configuration for product data related to Recently Viewed / Compared Products.
944,recently_compared_product,Functional,session,Stores product IDs of recently compared products.
945,recently_compared_product_previous,Functional,session,Stores product IDs of previously compared products for easy navigation.
946,recently_viewed_product,Functional,session,Stores product IDs of recently viewed products for easy navigation.
947,recently_viewed_product_previous,Functional,session,Stores product IDs of recently previously viewed products for easy navigation.
948,user_allowed_save_cookie,Functional,session,Indicates if a customer is allowed to use cookies.
949,external_no_cache,Functional,session,A flag that indicates if caching is disabled.
950,persistent_shopping_cart,Functional,session,Stores the key (ID) of persistent cart to make it possible to restore the cart for an anonymous shopper.
951,stf,Functional,session,Records the time messages are sent by the SendFriend (Email a Friend) module.
952,pollN,Functional,session,A poll ID that indicates if a vote has occurred.
953,frontend,Functional,session,Session ID
954,guest-view,Functional,session,Allows guests to edit their orders.
955,mage-banners-cache-storage,Functional,1 hour,Stores banner content locally to improve performance.
956,searchReport-log,Functional,1 year,"Magento, used to log information about searching"
957,private_content_version,Functional,1 year,"Appends a random, unique number and time to pages with customer content to prevent them from being cached on the server."
958,X-Magento-Vary,Functional,session,X-Magento-Vary cookie is used by Magento 2 system to highlight that version of a page requested by a user has been changed. It allows having different versions of the same page stored in cache e.g. Varnish.
959,section_data_ids,Functional,session,"Stores customer-specific information related to shopper-initiated actions such as display wish list, checkout information, etc."
960,dsps:,Marketing,90 days,Service to display targeted advertising to visitors.
961,TapAd_3WAY_SYNCS,Marketing,2 months,Pending
962,_mb,Marketing,session,Used in context with video-advertisement. The cookie limits the number of times a visitor is shown the same advertisement-content. The cookie is also used to ensure relevance of the video-advertisement to the specific visitor.
963,componentType,Functional,session,"componentType is a session cookie, used for correct recording the type of the page (frontpage, single page, blog etc)"
964,componentStyle,Functional,session,"componentStyle is a session cookie, used for setting the proper template in compliance with visited type of the page"
965,nrid,Functional,2 years,"This cookie is used to remember a user's choice about cookies on the website. Where users have previously indicated a preference, that user’s preference will be stored in this cookie."
966,sat_track,Functional,90 days,The sat_track cookie is a part of Adobe Analytics. It controls the enabling and disabling of cookies and whether they are loaded onto the site.
967,cookieconsent_status,Functional,1 year,This cookie is used to remember if you have consented to the use of cookies on this website.
968,cookieconsent_page,Functional,session,Page where the user complies to the cookie consent
969,koitk,Marketing,3 years,Collects data on visitors behavior and interaction - This is used to optimize the website and make advertisement on the website more relevant.
970,__ss_referrer,Marketing,6 hours,"This cookie contains information about where the visitor came from, called the source for the visit."
971,__ss_tk,Marketing,25 years,This is Sharspring’s token cookie which enables user tracking. It ensures that the visit to website is connected to the user independent of the session and the source.
972,__ss,Marketing,30 minutes,This cookie is storing the session ID for your visit. It is used in combination with _ss_tk to group website visits in reports for a single user.
973,_pk_id,Analytics,13 months,Used to store a few details about the user such as the unique visitor ID
974,_pk_ref,Analytics,6 months,"Used to store the attribution information, the referrer initially used to visit the website"
975,_pk_ses,Analytics,30 minutes,Short lived cookies used to temporarily store data for the visit
976,_pk_cvar,Analytics,30 minutes,Short lived cookies used to temporarily store data for the visit
977,_pk_hsr,Analytics,30 minutes,Short lived cookies used to temporarily store data for the visit
978,_pk_testcookie,Analytics,session,Cookie is created and should be then directly deleted (used to check whether the visitor’s browser supports cookies)
979,mtm_consent,Analytics,forever,Cookie is created with no expiry date to forever remember that consent was given by the user.
980,_wepublishGa,Analytics,2 years,ID used to identify users
981,_wepublishGa_gid,Analytics,24 hours,ID used to identify users for 24 hours after last activity 24 hours
982,optimizelyEndUserId,Marketing,6 months,Stores a visitor's unique Optimizely identifier. It's a combination of a timestamp and random number. No other information about you or your visitors is stored inside.
983,optimizelyRedirectData,Marketing,5 seconds,"After Optimizely has executed a redirect experiment, stores various data from the original page so that Optimizely still has access to it on the new page."
984,optimizelyDomainTestCookie,Marketing,6 months,"When Optimizely loads a URL, the snippet places the cookie to get the current domain, for the purpose of whether cross-domain syncing is possible. If successful, the cookie is immediately removed. "
985,optimizelyOptOut,Marketing,10 years,Stores a boolean indicating whether the visitor has opted out of participating in Optimizely-powered experimentation.
986,wwwchannelme_z_sid,Functional,session,The cookie is used when using the co-browsing feature.
987,app_ts,Marketing,1 year,Used by adscience.nl to display remarketing campaigns.
988,viewer,Marketing,1 year,Used by adscience.nl to measure visitor numbers and information and use it to optimize marketing campaigns.
989,spx_ts,Marketing,1 year,These cookies ensure that relevant advertisements are displayed on external websites.
990,adx_ts,Marketing,1 year,These cookies ensure that relevant advertisements are displayed on external websites.
991,id_ts,Marketing,1 year,These cookies ensure that relevant advertisements are displayed on external websites.
992,euconsent,Marketing,1 year,Cookie compliance check
993,SSR-caching,Functional,session,Indicates how a site was rendered
994,smSession,Functional,2 weeks,Identifies logged in site members
995,svSession,Marketing,2 years,Identifies unique visitors and tracks a visitor’s sessions on a site
996,ForceFlashSite,Functional,session,When viewing a mobile site (old mobile under m.domain.com) it will force the server to display the non-mobile version and avoid redirecting to the mobile site
997,hs,Functional,session,Security
998,bSession,Functional,30 minutes,Used for system effectiveness measurement
999,TS01,Functional,session,Used for security and anti-fraud reasons
1000,fedops.logger.sessionId,Functional,12 months,Used for stability/effectiveness measurement
1001,wixLanguage,Functional,12 months,Used on multilingual websites to save user language preference
1002,_ab,Functional,session,Used in connection with access to admin.
1003,_secure_session_id,Functional,session,Used in connection with navigation through a storefront.
1004,Cart,Functional,14 days,Used in connection with shopping cart.
1005,cart_ts,Functional,14 days,Used in connection with checkout.
1006,checkout_token,Functional,14 days,Used in connection with checkout.
1007,Secret,Functional,14 days,Used in connection with checkout.
1008,Secure_customer_sig,Functional,2 years,Used in connection with customer login.
1009,storefront_digest,Functional,2 years,Used in connection with customer login.
1010,_shopify_u,Functional,2 years,Used to facilitate updating customer account information.
1011,_tracking_consent,Marketing,2 years,Tracking preferences.
1012,_landing_page,Marketing,2 years,Track landing pages.
1013,_orig_referrer,Marketing,2 years,Track landing pages.
1014,_s,Analytics,2 years,Shopify analytics.
1015,_shopify_fs,Analytics,2 years,Shopify analytics.
1016,_shopify_s,Analytics,2 years,Shopify analytics.
1017,_shopify_sa_p,Marketing,2 years,Shopify analytics relating to marketing & referrals.
1018,_shopify_sa_t,Marketing,2 years,Shopify analytics relating to marketing & referrals.
1019,_shopify_uniq,Analytics,2 years,Shopify analytics.
1020,_shopify_visit,Analytics,2 years,Shopify analytics.
1021,_shopify_y,Analytics,2 years,Shopify analytics.
1022,_y,Analytics,2 years,Shopify analytics.
1023,tracked_start_checkout,Analytics,2 years,Shopify analytics relating to checkout.
1024,ki_r,Analytics,2 years,Shopify analytics.
1025,ki_t,Analytics,2 years,Shopify analytics.
1026,_Brochure_session,Analytics,2 years,Used in connection with browsing through site.
1027,__hs_opt_out,Functional,13 months,This cookie is used by the opt-in privacy policy to remember not to ask the visitor to accept cookies again.
1028,__hs_do_not_track,Functional,13 months,This cookie can be set to prevent the tracking code from sending any information to HubSpot.
1029,__hs_initial_opt_in,Functional,7 days,This cookie is used to prevent the banner from always displaying when visitors are browsing in strict mode.
1030,hs_ab_test,Functional,session,This cookie is used to consistently serve visitors the same version of an A/B test page they’ve seen before.
1031,hs-messages-is-open,Functional,30 minutes,This cookie is used to determine and save whether the chat widget is open for future visits.
1032,hs-messages-hide-welcome-message,Functional,1 day,This cookie is used to prevent the chat widget welcome message from appearing again for one day after it is dismissed.
1033,__hsmem,Functional,1 year,This cookie is set when visitors log in to a HubSpot-hosted site.
1034,hs-membership-csrf,Functional,session,This cookie is used to ensure that content membership logins cannot be forged.
1035,hs_langswitcher_choice,Functional,2 years,This cookie is used to save the visitor's selected language choice when viewing pages in multiple languages.
1036,messagesUtk,Marketing,13 months,"This cookie is used to recognize visitors who chat with you via the chatflows tool. If the visitor leaves your site before they're added as a contact, they will have this cookie associated with their browser."
1037,renderCtx,Functional,session,Used to deliver requested pages and content based on a user's navigation.
1038,pctrk,Analytics,session,Used to count page views by unauthenticated users against license usage.
1039,force-stream,Functional,3 hours,Used to properly route server requests within Salesforce infrastructure for sticky sessions.
1040,BrowserId_sec,Functional,1 year,Used to log secure browser sessions/visits for internal-only product analytics.
1041,force-proxy-stream,Functional,3 hours,Used to ensure client requests hit the same proxy hosts and are more likely to retrieve content from cache.
1042,QCQQ,Functional,session,Used to detect the official login page for Forced Login POST detection.
1043,sid_Client,Functional,session,Used to validate orgid and userid on the client side.
1044,idccsrf,Functional,3 months,Used for SSO authentication as CSRF protection.
1045,rsid,Functional,session,Used for an admin user to 'log in as' one of their org user.
1046,rsid2,Functional,session,Used for an admin user to 'log in as' one of their org portal user.
1047,RRetURL,Functional,session,Used for 'log in as' to return to original page.
1048,RRetURL2,Functional,session,Used for portal 'log in as' to return to original page.
1049,alohaEpt,Functional,90 sec,Used to log page load EPT (Experience Page Time) for Visualforce (Classic UI) pages.
1050,clientSrc,Functional,session,Used to validate the IP from where a user logs in.
1051,oinfo,Marketing,3 months,"Used to track the State, Edition and orgID of a customer's org."
1052,autocomplete,Functional,60 days,Used to determine whether the browser remembers a user’s login username.
1053,inst,Functional,session,Used to optimize routing to the user's instance.
1054,expid_,Marketing,session,Used to render pages based on specified brand.
1055,disco,Marketing,session,Used to verify the last Salesforce org that was accessed on the same browser for session discovery.
1056,oid,Functional,2 years,Used to redirect a user to the correct Salesforce org and assist the user for the next login.
1057,CookieConsentPolicy,Functional,1 year,Used to apply end-user cookie consent preferences set by our client-side utility.
1058,Player,Functional,1 minute,This first party cookie created by Vimeo is used to remember user’s player mode preferences.
1059,continuous_play_v3,Functional,2 years,Used to keep track of whether continuous play is on or not for a user
1060,_gat_pro,Functional,24 hours,Allows Snapwidget to offer anonymous analytics about how the visitors are using your widgets
1061,woocommerce_cart_hash,Functional,session,Helps WooCommerce determine when cart contents/data changes.
1062,woocommerce_items_in_cart,Functional,session,Helps WooCommerce determine when cart contents/data changes.
1063,wp_woocommerce_session_,Functional,2 days,Contains a unique code for each customer so that it knows where to find the cart data in the database for each customer.
1064,woocommerce_recently_viewed,Functional,session,Powers the Recent Viewed Products widget
1065,edgebucket,Marketing,2 years,Used by Reddit to deliver advertising
1066,initref,Marketing,session,Used by Reddit to deliver advertising
1067,incap_ses_,Functional,session,This cookie is set to allow a visitor to receive site content from one out of multiple servers as the visitor browses the site. This allows the visitor's session to be maintained.
1068,nlbi_,Functional,session,Incapsula DDoS Protection and Web Application Firewall: Load balancing cookie. To ensure requests by a client are sent to the same origin server.
1069,visid_incap_,Functional,1 year,"This cookie is from the incapsula CDN and helps us with reliability, security and the performance of our site."
1070,sp_t,Functional,2 months,Required to ensure the functionality of the integrated Spotify plugin. This does not result in any cross-site functionality.
1071,sp_landing,Functional,1 day,Required to ensure the functionality of the integrated Spotify plugin. This does not result in any cross-site functionality.
1072,anj,Marketing,90 days,The anj cookie contains data denoting whether a cookie ID is synced with our partners. ID syncing enables our partners to use their data from outside the Platform on the Platform. 
1073,uuid2,Marketing,90 days,This cookie contains a unique randomly-generated value that enables the Platform to distinguish browsers and devices.
1074,cc-,Functional,session,References a cart for anonymous users
1075,pgid-org-,Functional,session,Hash of personalization information. Used to cache pages or snippets for users with same personalization information
1076,SecureSessionID-,Functional,session,Reference to authenticated user
1077,CMSCsrfCookie,Functional,session,Store's a security token that the system uses to validate all form data submitted via POST requests. Helps protect against Cross site request forgery.
1078,CMSCookieLevel,Functional,1 year,Specifies which cookies are allowed by the visitor.
1079,CMSLandingPageLoaded,Analytics,20 minutes,Indicates that the landing page has already been visited and the Landing page activity is not logged again for the current visitor. Expires after 20 minutes and the expiration period of the key is renewed every time the website is accessed again.
1080,CMSPreferredCulture,Functional,1 year,Stores the visitor's preferred content culture.
1081,CMSUserPage,Analytics,20 minutes,"Stores the IDs (DocumentID, NodeID) of the last visited page. Used for logging landing and exit page web analytics and activities."
1082,CurrentContact,Analytics,50 years,Stores the GUID of the contact related to the current site visitor. Used to track activities on the website.
1083,VisitorStatus,Analytics,20 years,Indicates if the visitor is new or returning. Used for tracking the visitors statistic in Web analytics.
1084,sc_at,Marketing,1 year,Used to identify a visitor across multiple domains.
1085,_scid,Marketing,1 year,Used to help identify a visitor.
1086,X-AB,Functional,1 day,This cookie is used by the website’s operator in context with multi-variate testing. This is a tool used to combine or change content on the website. This allows the website to find the best variation/edition of the site.
1087,_vwo_uuid_v2,Functional,1 year,Used to track visitor movements anonymously.
1088,_vis_opt_s,Functional,100 days,This cookie detects if you are new or returning to a particular test.
1089,_vis_opt_test_cookie,Functional,100 days,This is a temporary session cookie generated to detect if the cookies are enabled on the user browser or not.
1090,_vis_opt_exp_,Functional,100 days,This cookie is generated when a goal is created.
1091,zc_consent,Functional,1 year,Determines whether the user has accepted the cookie consent box.
1092,ZCAMPAIGN_CSRF_TOKEN,Functional,session,This cookie is used to distinguish between humans and bots.
1093,zc_show,Marketing,1 year,Collects data on visitors' preferences and behaviour on the website - This information is used make content and advertisement more relevant to the specific visitor.
1094,zc_cu_exp,Functional,1 year,Contains the expiration date for the cookie with its name.
1095,zc_loc,Marketing,session,Collects information on user preferences and/or interaction with web-campaign content - This is used on CRM-campaign-platform used by website owners for promoting events or products.
1096,wa_ul,Functional,session,Used to access the service it provides.
1097,wa_lang_pref,Functional,6 days,Used by WhatsApp to save language preferences
1098,pa_rubicon_ts,Marketing,2 years,This cookie is set by Perfect Audience and is used for advertising purposes based on user behavior data.
1099,pa_google_ts,Marketing,2 years,This cookie is set by Perfect Audience and is used for advertising purposes based on user behavior data.
1100,pa_twitter_ts,Marketing,2 years,This cookie is set by Perfect Audience and is used for advertising purposes based on user behavior data.
1101,pa_yahoo_ts,Marketing,2 years,This cookie is set by Perfect Audience and is used for advertising purposes based on user behavior data.
1102,pa_openx_ts,Marketing,2 years,This cookie is set by Perfect Audience and is used for advertising purposes based on user behavior data.
1103,pa_uid,Marketing,2 years,This cookie is set by Perfect Audience and is used for advertising purposes based on user behavior data.
1104,mailmunch_second_pageview,Marketing,1 year,Used for tracking by the Mailmunch mailing list software
1105,_mailmunch_visitor_id,Marketing,1 year,This cookie is set by MailMunch which is email collection and email marketing platform.
1106,tk_ai,Analytics,session,"Stores a randomly generated, anonymous ID. It is only used in the admin area and is used for general analytics tracking."
1107,tPHG-PS,Marketing,1 year,"Partnerize’s tracking cookie, deployed either upon a user’s clicking of a link on a partner website, or upon the loading of a customer's image to a partner website."
1108,digitalAudience,Marketing,Unlimited,"Digital Audience uses cookies to improve the effectiveness of digital platforms, thanks to online recognition mechanisms."
1109,_omappvs,Marketing,1 day,Cookie is used to identify returning visitors
1110,SnapABugHistory,Marketing,1 year,This cookie is associated with live chat software from SnapEngage. It identifies a visitor to enable a history of engagement to be recorded.
1111,SnapABugUserAlias,Functional,1 year,Stores a unique ID string for each chat-box session. This allows the website-support to see previous issues and reconnect with the previous supporter.
1112,SnapABugVisit,Functional,1 year,This cookie is associated with live chat software from SnapEngage. It identifies a new user session.
1113,SnapABugRef,Marketing,1 year,This cookie is associated with live chat software from SnapEngage. It records the landing page and origin of a visitor.
1114,audience,Marketing,1 year,Sync audience data between buyers and sellers.
1115,yith_wcwl_session_,Functional,29 days,YITH WooCommerce Wishlist plugin uses cookies in order to correctly store user wishlists
1116,A3,Marketing,1 year,Ads targeting cookie for Yahoo
1117,APIDTS,Marketing,1 day,This is a Yahoo! Cookie used in the targeting of relevant adverts and content on the Yahoo! platform.
1118,IDSYNC,Marketing,1 year,Identifies if the cookie-data needs to be updated in the visitor's browser - This is determined through third-party ad-serving-companies.
1119,INGRESSCOOKIE,Functional,session,"Registers which server-cluster is serving the visitor. This is used in context with load balancing, in order to optimize user experience."
1120,AlteonP,Functional,session,This cookie is set by the load balancers and allows us to evenly balance the number of users across the web servers that we use.
1121,cref,Marketing,13 months,"Contains data on user navigation, interaction and time spent on the website and its sub-pages – This data is used to optimise the relevance of advertisements and for statistical purposes."
1122,d,Marketing,13 months,Tracking of users and measure and improve performance and supports personalisation
1123,iutk,Marketing,10 years,Recognises the user's device and what Issuu documents have been read.
1124,cookielawinfo-checkbox-necessary,Functional,11 months,This cookie is set by GDPR Cookie Consent plugin. The cookies is used to store the user consent for the cookies in the category 'Necessary'.
1125,cookielawinfo-checkbox-non-necessary,Functional,11 months,This cookie is set by GDPR Cookie Consent plugin. The cookies is used to store the user consent for the cookies in the category 'Non Necessary'.
1126,viewed_cookie_policy,Functional,11 months,The cookie is set by the GDPR Cookie Consent plugin and is used to store whether or not user has consented to the use of cookies. It does not store any personal data.
1127,cookielawinfo-checkbox-marketing,Functional,11 months,This cookie is set by GDPR Cookie Consent plugin. The purpose of this cookie is to check whether or not the user has given the consent to the usage of cookies under the category 'Marketing'.
1128,cookielawinfo-checkbox-analytics,Functional,11 months,This cookie is set by GDPR Cookie Consent plugin. The purpose of this cookie is to check whether or not the user has given the consent to the usage of cookies under the category 'Analytics'.
1129,cookielawinfo-checkbox-performance,Functional,11 months,This cookie is set by GDPR Cookie Consent plugin. The purpose of this cookie is to check whether or not the user has given the consent to the usage of cookies under the category 'Performance'.
1130,cookielawinfo-checkbox-others,Functional,11 months,This cookie is set by GDPR Cookie Consent plugin. The cookie is used to store the user consent for the cookies in the category 'Other'.
1131,stg_traffic_source_priority,Analytics,30 minutes,Stores the type of traffic source that explains how the visitor reached your website.
1132,stg_last_interaction,Analytics,365 days,Determines whether the last visitor's session is still in progress or a new session has started.
1133,stg_returning_visitor,Analytics,365 days,Determines if the visitor has already been to your website — they are returning visitors.
1134,stg_externalReferrer,Analytics,session,Stores an URL of a website that referred a visitor to your website.
1135,__sqra,Functional,2 years,Tracks the user's interaction with the website's search-bar-function. This data can be used to present the user with relevant products or services.
1136,__sqrb,Functional,2 years,Tracks the user's interaction with the website's search-bar-function. This data can be used to present the user with relevant products or services.
1137,__sqrc,Functional,2 years,Tracks the user's interaction with the website's search-bar-function. This data can be used to present the user with relevant products or services.
1138,sp,Analytics,1 year,Stores a server-side collector generated unique identifier for a user that is sent with all subsequent tracking event events. Can be used as a first party cookie is the collector is on the same domain as the site.
1139,_sp_id.,Analytics,2 years,"Stores user information that is created when a user first visits a site and updated on subsequent visits. It is used to identify users and track the users activity across a domain. This cookie stores a unique identifier for each user, a unique identifier for the users current session, the number of visits a user has made to the site, the timestamp of the users first visit, the timestamp of their previous visit and the timestamp of their current visit."
1140,_sp_ses.,Analytics,30 minutes,Used to identify if the user is in an active session on a site or if this is a new session for a user (i.e. cookie doesn’t exist or has expired).
1141,AUTH_SESSION_ID,Functional,session,ID of current authentication session.
1142,KC_RESTART,Functional,session,Internal cookie from Keycloak.
1143,KC_START,Functional,session,Internal cookie from Keycloak.
1144,KEYCLOAK_IDENTITY,Functional,session,ID of the current user.
1145,KEYCLOAK_LOCALE,Functional,session,Language of the interface.
1146,KEYCLOAK_REMEMBER_ME,Functional,1 year,Internal cookie from Keycloak.
1147,KEYCLOAK_SESSION,Functional,session,ID of the current browser session
1148,_abck,Functional,session,This cookie is used to analyse traffic to determine if it is automated traffic generated by IT systems or a human user
1149,CRAFT_CSRF_TOKEN,Functional,session,Facilitates protection against cross-site request forgeries. This helps to safeguard data as it is submitted through forms on the website.
1150,CraftSessionId,Functional,session,Craft relies on PHP sessions to maintain sessions across web requests. That is done via the PHP session cookie. Craft names that cookie 'CraftSessionId' by default. This cookie will expire as soon as the session expires.
1151,ci_session,Functional,session,Cookie to track the users logged in state and access level to restricted pages.
1152,__lc_cid,Functional,3 years,Necessary for the functionality of the website's chat-box function.
1153,__lc_cst,Functional,3 years,Necessary for the functionality of the website's chat-box function.
1154,__lc2_cid,Functional,3 years,Stores a unique ID string for each chat-box session. This allows the website-support to see previous issues and reconnect with the previous supporter.
1155,__lc2_cst,Functional,3 years,Stores a unique ID string for each chat-box session. This allows the website-support to see previous issues and reconnect with the previous supporter.
1156,__livechat,Functional,3 years,Used to hide the user's personal customisation of LiveChat.
1157,BVBRANDID,Analytics,20 years,BVBRANDID is a persistent cookie that allows Bazaarvoice to track website analytics data such as how often you visit the site and allocate it to the same website visitor.
1158,BVBRANDSID,Analytics,20 years,This cookie allows internal Bazaarvoice web analytics to be correlated to the same user browsing session for interactions within a particular client domain.
1159,BVID,Marketing,365 days,Allows internal Bazaarvoice web analytics to be correlated to the same user for interactions across the Bazaarvoice network.
1160,BVSID,Marketing,session,Allows internal Bazaarvoice web analytics to be correlated to the same user browsing session for interactions across the Bazaarvoice network.
1161,_li_id,Marketing,1 year,"These cookies enable us to get insights about the business use of our website, based on IP addresses of the website visitors."
1162,_li_ses,Marketing,1 year,"These cookies enable us to get insights about the business use of our website, based on IP addresses of the website visitors."
1163,CAKEPHP,Functional,1 hour,A cookie controller used to manage other Cookies
1164,wp-wpml_current_language,Functional,session,This cookie is used to track the language preference fo the user
1165,_flowbox,Functional,1 year,Used to differentiate between users and sessions and collecting statistics on the viewing behaviour for Instagram posts displayed on the website.
1166,acalltracker,Marketing,30 days,"Adcalls call tracking: ID, phone number"
1167,acalltrackersession,Functional,session,"This cookie stores a unique identifier, so that it can be tracked which session the visitor is in."
1168,acalltrackerreferrer,Analytics,60 minutes,"This cookie is set as soon as the AdCalls JavaScript is loaded. The cookie is used to store the referrer of the visitor as quickly as possible, so that it cannot be lost. As soon as the JavaScript has been executed, this cookie is immediately deleted."
1169,excludecalltracking,Functional,session,"This cookie is set as soon as the visitor - for whatever reason - is not measured, so that we do not take any further actions."
1170,acalltrackernumber,Marketing,30 minutes,This cookie stores the phone number for the session that is active.
1171,wordpress_google_apps_login,Functional,session,Used for secure log in to the web site with a Google account.
1172,ckies_functional,Functional,1 year,Opt-out for functional cookies
1173,ckies_necessary,Functional,1 year,Confirms that other necessary cookies get set
1174,ckies_performance,Functional,1 year,Opt-out for performance cookies
1175,ckies_marketing,Functional,1 year,Opt-out for marketing/third party/consent based cookies
1176,ClickAndChange,Functional,session,Session Cookie for Creator CMS
1177,pll_language,Functional,1 year,Saves the chosen language.
1178,browserupdateorg,Functional,30 days,Stores information if user dismissed notification about outdated browser
1179,TawkConnectionTime,Functional,session,This cookie is used to determine the connection duration of tawk sessions.
1180,tawkUUID,Analytics,10 years,This cookie is used to collect information about how the visitor handles the live chat function on the website.
1181,TawkCookie,Functional,session,Main Tawk.to cookie.
1182,__tawkuuid,Functional,10 years,Tawk.to cookie used to distinguish users.
1183,stx_user_id,Marketing,1 year,Delivering targeted and relevant content
1184,dc,Marketing,10 years,This cookie is used for advertising purposes
1185,sqzl_abs,Marketing,1 month,A cookie used by Squeezely
1186,sqzl_consent,Functional,1 year,Stores the user's cookie consent state for the current domain
1187,sqzl_session_id,Marketing,session,A cookie used by Squeezely
1188,sqzl_vw,Marketing,1 year,A cookie used by Squeezely
1189,sqzllocal,Marketing,1 year,This is a cookie from the service Squeezely. It helps us with registering which pages you have visited and with sending you personalized ads
1190,belco-anonymous-id,Functional,1 year,"This cookie enables you to make use of the chat-function of our customer service-tool, so we can help you anytime."
1191,belco-cookies,Functional,1 year,"This cookie enables you to make use of the chat-function of our customer service-tool, so we can help you anytime."
